ax,ay,az,gx,gy,gz
13948,-8584,4532,-44,-1145,-127
14272,-8948,4856,101,-966,-404
14500,-8576,4788,459,-793,309
14272,-8244,4812,345,-750,114
14128,-8128,5060,108,-879,-559
14252,-7700,4932,-98,-1059,-649
14388,-8192,4784,-468,-880,-651
14632,-8016,4564,-347,-593,-277
14352,-8576,4500,-119,-629,-236
14296,-8388,4536,122,-739,-547
14288,-8400,4864,250,-601,-680
13876,-8268,4768,-114,-771,-948
14424,-8240,4484,-95,-1009,-1052
14476,-8192,4628,102,-1141,-999
14632,-7920,4616,157,-1042,-907
14708,-7884,4988,69,-954,-671
14668,-7848,4872,20,-780,-266
14472,-7752,5088,60,-743,-91
14344,-7900,4804,71,-813,-185
14652,-7936,4432,113,-844,-225
14792,-7776,4704,76,-790,-232
14688,-7700,4820,-44,-1018,-235
14692,-7864,4776,-113,-665,-293
14452,-7980,4668,-105,-707,-421
14584,-7932,4544,-91,-754,-493
14692,-7828,4784,-22,-632,-512
14636,-7760,4384,-44,-592,-425
14668,-7692,4744,-41,-617,-418
14728,-7508,4616,-27,-651,-466
14816,-7900,4784,58,-654,-454
14680,-7812,4516,131,-662,-493
14740,-7624,4804,184,-650,-263
14808,-7568,4808,140,-610,-498
14784,-7492,4828,46,-640,-585
15016,-7528,4976,-90,-641,-569
14596,-7544,4800,-95,-633,-761
14780,-7448,4744,-45,-662,-436
14792,-7300,5080,-69,-696,-427
14952,-7564,4756,-64,-714,-480
14648,-7668,4784,-110,-652,-442
14852,-7236,4608,-175,-768,-429
15092,-7172,4556,-127,-777,-373
14828,-7148,4824,-18,-732,-201
14940,-6928,5000,-91,-585,39
14812,-7300,4820,-232,-572,-47
14640,-7284,4676,-285,-615,-28
14988,-7400,4856,-84,-633,-113
14880,-7192,4904,67,-619,-25
14996,-7352,4728,135,-667,129
14976,-7296,4632,93,-574,127
14600,-7372,4736,57,-549,18
14972,-7232,5100,1,-273,-72
14996,-7284,4996,-110,-572,-129
14908,-7396,5056,-174,-567,-79
14916,-7520,4664,-94,-620,64
14732,-7612,4908,-55,-678,-255
14808,-7312,4716,-12,-649,-93
14884,-7280,4744,42,-634,55
14604,-7200,4924,-38,-631,-27
14884,-7592,4872,183,-680,95
14936,-7416,4964,121,-657,490
14724,-7348,4616,52,-610,-35
14704,-7416,4880,-17,-743,-91
14904,-7612,4968,-18,-513,15
14956,-7512,5060,45,-779,-100
14600,-7276,4852,122,-835,-50
14916,-7372,4776,78,-828,77
15064,-7352,4768,26,-724,17
14880,-7332,4616,-70,-681,-20
14864,-7392,4940,-106,-660,-78
14752,-7396,5112,-154,-632,-201
14796,-7408,5072,-169,-669,-212
14876,-7420,4864,-148,-730,-187
14888,-7436,4848,-88,-687,-86
14784,-7584,4972,27,-636,-59
15044,-7428,4852,83,-681,-80
14628,-7420,5016,6,-720,241
14644,-7368,5104,-56,-777,-62
14592,-7240,4868,-45,-513,-86
14840,-7420,4960,49,-738,-88
14600,-7308,4736,132,-799,-48
14900,-7280,5028,131,-801,28
14924,-7304,4720,155,-750,24
15092,-7336,4880,129,-726,-13
14888,-7188,4808,132,-791,-51
15012,-7220,4744,78,-999,-105
14860,-7340,4912,13,-737,-168
14832,-7192,4656,-45,-688,-213
15032,-7296,4784,-56,-691,-169
14944,-7296,4864,-107,-693,-125
14928,-7268,4960,-113,-657,-106
15100,-7284,4780,-116,-623,-92
14604,-7360,4888,-114,-621,-65
14612,-7352,5048,-110,-671,-102
14596,-7356,4772,-99,-682,-104
14896,-7344,4896,-36,-726,-56
14696,-7332,4892,12,-693,-72
15044,-7264,4968,38,-736,-49
14864,-7276,4648,45,-768,-55
14960,-7256,4980,62,-520,11
14956,-7324,4668,36,-730,246
14928,-7332,5092,26,-724,251
14800,-7396,4808,57,-726,-26
14908,-7292,5116,41,-740,-42
14984,-7028,5020,252,-708,-34
15084,-7320,5088,-21,-687,-65
14892,-7288,4680,-17,-672,-75
